title,publish date,abstract
Modeling emerging contaminants breakthrough in packed bed adsorption columns by UV absorbance and fluorescing components of dissolved organic matter,Sep 2018,"This study investigated, using rapid small-scale column testing, the breakthrough of dissolved or-ganic matter (DOM) and eleven emerging organic contaminants (EOCs) during granular activat-ed carbon (GAC) filtration of different water qualities, including wastewater, surface water and synthetic water (riverine organic matter dissolved in deionized water). Fluorescing organic matter was better adsorbed than UV absorbance at 254 nm (UV254) and dissolved organic carbon (DOC) in all tested water. Furthermore, highest adsorption of DOM (in terms of DOC, UV254 and fluorescence) was observed during wastewater filtration. UV absorbing DOM had fast and similar breakthrough in surface water and synthetic water, whereas fluorescence breakthrough was very rapid only in synthetic water. PARAFAC modeling showed that different fluorescing components were differently adsorbed during GAC process. Particularly, fluorescing compo-nents with maxima intensity at higher excitation wavelengths, which are corresponding to humic-like fluorescence substances, were better removed than other components in all waters. As op-posed to DOM, EOCs were better adsorbed during synthetic water filtration, whereas the fastest EOCs breakthrough was observed during filtration of wastewater, which was the water that de-termined the highest carbon fouling. Exception was represented by long-chained perfluoroalkyl-ated substances (i.e., PFOA, PFDA and PFOS). Indeed, adsorption of these compounds resulted independent of water quality. In this study was also investigated the applicability of UV254 and fluorescing PARAFAC components to act as surrogates in predicting EOCs removal by GAC in different water matrices. Empirical linear correlation for the investigated EOCs were determined with UV254 and fluorescing components in all water qualities. However, fluorescence measure-ments resulted more sensitive than UV254 to predict EOC breakthrough during GAC adsorption. When the data from all water qualities was combined, good correlations between the microbial humic-like PARAFAC component and EOC removals were still observed and they resulted in-dependent of water quality if considering only real water matrices (wastewater and surface water). On the contrary, correlations between EOC removals and UV254 removals were independent of water quality when combining data of surface waters and synthetic water, but a different cor-relation model was needed to predict EOCs breakthrough in wastewater."
Downstream trends of in vitro bioassay responses in a wastewater effluent-dominated river,Aug 2018,"Surface waters are becoming increasingly influenced by wastewater effluents due to drought conditions, growing populations, and urbanization. These effluents contain mixtures of trace organic compounds (TOrCs), including bioactive constituents, which are not fully attenuated by conventional wastewater treatment systems. This study investigated the occurrence of glucocorticoid receptor (GR), aryl hydrocarbon receptor (AhR), and estrogen receptor (ER) activity, as well as the overall toxicity to bacteria (BLT-Screen), in the effluent of two wastewater reclamation facilities (WRF) and downstream of the Lower Santa Cruz River, Pima County, Arizona USA, which is dominated by the WRF effluents. The GR, AhR, and ER activities and toxicity to bacteria were determined by in vitro bioassays during four seasons. Bioassay results showed the highest activities at the wastewater outfalls, with activities decreasing downstream of the river. Biological equivalent concentrations ranged from 9 to 170 ng/L dexamethasone-equivalents (DexEQ), 0.1-0.8 ng/L 2,3,7,8-tetrachlorodibenzo-p-dioxin-equivalents (TCDDEQ), and <0.005-0.8 ng/L estradiol equivalents (EEQ) for GR-, AhR- and ER-mediated activity, respectively. This level of biological activity at times exceeded the relevant effects-based trigger value for environmental effects, indicating a potential risk to the receiving environment. Toxicity to bacteria was low at all sites, well below the trigger value of 1.0 TUIC20, which represents an undiluted water sample causing 20% toxicity in the assay. The potential inducing glucocorticoid agonists were further analysed by liquid chromatography coupled to tandem mass spectrometry. Analytical results reveal triamcinolone acetonide as the most abundant glucocorticoid with concentrations up to 38 ng/L. Similar results for DexEQ concentrations calculated from both chemical and bioassay data indicate a successful mass balance for glucocorticoids. This mass balance illustrated lower DexEQ during summer months, which could be due to an increased attenuation from photodegradation."
Near Real-Time Detection of E. coli in Reclaimed Water,Jul 2018,"Advanced treatment of reclaimed water prior to potable reuse normally results in the inactivation of bacterial populations, however, incremental treatment failure can result in bacteria, including pathogens, remaining viable. Therefore, potential microorganisms need to be detected in real-time to preclude potential adverse human health effects. Real-time detection of microbes presents unique problems which are dependent on the water quality of the test water, including parameters such as particulate content and turbidity, and natural organic matter content. In addition, microbes are unusual in that: (i) viability and culturability are not always synonymous; (ii) viability in water can be reduced by osmotic stress; and (iii) bacteria can invoke repair mechanisms in response to UV disinfection resulting in regrowth of bacterial populations. All these issues related to bacteria affect the efficacy of real-time detection for bacteria. Here we evaluate three different sensors suitable for specific water qualities. The sensor A is an on-line, real-time sensor that allows for the continuous monitoring of particulates (including microbial contaminants) using multi-angle-light scattering (MALS) technology. The sensor B is a microbial detection system that uses optical technique, Mie light scattering, for particle sizing and fluorescence emission for viable bacteria detection. The last sensor C was based on adenosine triphosphate (ATP) production. E. coli was used a model organism and out of all tested sensors, we found the sensor C to be the most accurate. It has a great potential as a surrogate parameter for microbial loads in test waters and be useful for process control in treatment trains."
An integrated approach with the zebrafish model for biomonitoring of municipal wastewater effluent and receiving waters,Dec 2017,"Comprehensive monitoring of water pollution is challenging. With the increasing amount and types of anthropogenic compounds being released into water, there are rising concerns of undetected toxicity. This is especially true for municipal wastewater effluents that are discharged to surface waters. This study was designed to integrate zebrafish toxicogenomics, targeted gene expression, and morphological analyses, for toxicity evaluation of effluent discharged from two previously characterized wastewater treatment plants (WWTPs) in Pima County, Arizona, and their receiving surface water. Zebrafish embryos were exposed to organic extracts from the WWTP1 effluent that were reconstituted to represent 1× and 0.5× of the original concentration. Microarray analyses identified deregulated gene probes that mapped to 1666, 779, and 631 unique human homologs in the 1×, 0.5×, and the intersection of both groups, respectively. These were associated with 18 cellular and molecular functions ranging from cell cycle to metabolism and are involved in the development and function of 10 organ systems including nervous, cardiovascular, haematological, reproductive, and hepatic systems. Superpathway of cholesterol biosynthesis, retinoic acid receptor activation, glucocorticoid receptor and prolactin signaling were among the top 11 perturbed canonical pathways. Real-time quantitative PCR validated the expression changes of 12 selected genes. These genes were then tested on zebrafish embryos exposed to the reconstituted extract of water sampled downstream of WWTP1 and another nearby WWTP2. The expression of several targeted genes were significantly affected by the WWTP effluents and some of the downstream receiving waters. Morphological analyses using four transgenic zebrafish lines revealed potential toxicity associated with nervous, hepatic, endothelial-vascular and myeloid systems. This study demonstrated how information can be obtained using adverse outcome pathway framework to derive biological effect-based monitoring tools. This integrated approach using zebrafish can supplement analytical chemistry to provide more comprehensive monitoring of discharged effluents and their receiving waters."
Management strategies for trace organic chemicals in water – A review of international approaches,Dec 2017,"To ensure an appropriate management of potential health risks and uncertainties from the release of trace organic chemicals (TOrCs) into the aqueous environment, many countries have evaluated and implemented strategies to manage TOrCs. The aim of this study was to evaluate existing management strategies for TOrCs in different countries to derive and compare underlying core principles and paradigms and to develop suggestions for more holistic management strategies to protect the environment and drinking water supplies from the discharge of undesired TOrCs. The strategies in different industrial countries were summarized and subsequently compared with regards to three particular questions: 1) Do the approaches different countries have implemented manage all or only specific portions of the universe of chemicals; 2) What implementation and compliance strategies are used to manage aquatic and human health risk and what are their pros and cons; and 3) How are site-specific watershed differences being addressed? While management strategies of the different countries target similar TOrCs, the programs differ in several important aspects, including underlying principles, the balance between aquatic or human health protection, implementation methods, and financing mechanisms used to fund regulatory programs."
Sample handling and data processing for fluorescent excitation-emission matrix (EEM) of dissolved organic matter (DOM),Nov 2017,"In environmental engineering and science, fluorescent excitation-emission matrix (EEM) has increasingly been utilized to characterize chromophoric dissolved organic matter (CDOM). This study aims to delineate EEM data processing, including calculation of total fluorescence (TF) which is an emerging water quality parameter often used as a surrogate for micropollutant removal by advanced water treatment processes. In addition, sample handling procedures such as storage, use of preservatives, and oxidant quenching agents were evaluated. In this study, three antimicrobial preservatives were tested: sodium azide, sodium omadine, and thymol. All the tested preservatives altered optical properties of samples, and were therefore not suitable for the preservation of EEM samples. Without preservative, storage of samples at 4 °C maintained TF within 7.5% of its original value for 21 days, while TF of samples stored at the room temperature more drastically changed (up to 15%). The impacts of three oxidant quenching agents including ascorbic acid, sodium bisulfite, and sodium thiosulfate on EEM were also tested. Among the quenching agents, sodium bisulfite was found to be suitable since it little influenced optical properties of samples while the other two were not favorable due to interference. We also scrutinized the use of TF as surrogate to monitor micropollutant rejection by nanofiltration membrane."
N-Nitrosodimethylamine (NDMA) and its precursors in water and wastewater: A review on formation and removal,Oct 2017,"This review summarizes major findings over the last decade related to N-Nitrosodimethylamine (NDMA) in water and wastewater. In particular, the review is focused on the removal of NDMA and of its precursors by conventional and advanced water and wastewater treatment processes. New information regarding formation mechanisms and precursors are discussed as well. NDMA precursors are generally of anthropogenic origin and their main source in water have been recognized to be wastewater discharges. Chloramination is the most common process that results in formation of NDMA during water and wastewater treatment. However, ozonation of wastewater or highly contaminated surface water can also generate significant levels of NDMA. Thus, NDMA formation control and remediation has become of increasing interest, particularly during treatment of wastewater-impacted water and during potable reuse application. NDMA formation has also been associated with the use of quaternary amine-based coagulants and anion exchange resins. UV photolysis with UV fluence far higher than typical disinfection doses is generally considered the most efficient technology for NDMA mitigation. However, recent studies on the optimization of biological processes offer a potentially lower-energy solution. Options for NDMA control include attenuation of precursor materials through physical removal, biological treatment, and/or deactivation by application of oxidants. Nevertheless, NDMA precursor identification and removal can be challenging and additional research and optimization is needed. As municipal wastewater becomes increasingly used as a source water for drinking, NDMA formation and mitigation strategies will become increasingly more important. The following review provides a summary of the most recent information available."
Reducing ultrafiltration membrane fouling during potable water reuse using pre-ozonation,Aug 2017,"Wastewater reclamation has increasingly become popular to secure potable water supply. Low-pressure membrane processes such as microfiltration (MF) and ultrafiltration (UF) play imperative roles as a barrier of macromolecules for such purpose, but are often limited by membrane fouling. Effluent organic matter (EfOM), including biopolymers and particulates, in secondary wastewater effluents have been known to be major foulants in low-pressure membrane processes. Hence, the primary aim of this study was to investigate the effects of pre-ozonation as a pre-treatment for UF on the membrane fouling caused by EfOM in secondary wastewater effluents for hydrophilic regenerated cellulose (RC) and hydrophobic polyethersulfone (PES) UF membranes. It was found that greater fouling reduction was achieved by pre-ozonation for the hydrophilic RC membrane than the hydrophobic PES membrane at increasing ozone doses. In addition, the physicochemical property changes of EfOM, including biopolymer fractions, by pre-ozonation were systemically investigated. The classical pore blocking model and the extended Derjaguin-Landau-Verwey-Overbeek (XDLVO) theories were employed to scrutinize the fouling alleviation mechanism by pre-ozonation. As a result, the overarching mechanisms of fouling reduction were attributed to the following key reasons: (1) Ozone degraded macromolecules such as biopolymers like proteins and polysaccharides into smaller fractions, thereby increasing free energy of cohesion of EfOM and rendering them more hydrophilic and stable; (2) pre-ozonation augmented the interfacial free energy of adhesion between foulants and the RC/PES membranes, leading to the increase of repulsions and/or the decrease of attractions; and (3) pre-ozonation prolonged the transition from pore blocking to cake filtration that was a dominant fouling mechanism, thereby reducing fouling."
Predicting trace organic compound attenuation by ozone oxidation: Development of indicator and surrogate models,Apr 2017,"Ozone oxidation has been demonstrated to be an effective treatment process for the attenuation of trace organic compounds (TOrCs); however, predicting TOrC attenuation by ozone processes is challenging in wastewaters. Since ozone is rapidly consumed, determining the exposure times of ozone and hydroxyl radical proves to be difficult. As direct potable reuse schemes continue to gain traction, there is an increasing need for the development of real-time monitoring strategies for TOrC abatement in ozone oxidation processes. Hence, this study is primarily aimed at developing indicator and surrogate models for the prediction of TOrC attenuation by ozone oxidation. To this end, the second-order kinetic equations with a second-phase Rct value (ratio of hydroxyl radical exposure to molecular ozone exposure) were used to calculate comparative kinetics of TOrC attenuation and the reduction of indicator and spectroscopic surrogate parameters, including UV absorbance at 254 nm (UVA254) and total fluorescence (TF). The developed indicator model using meprobamate as an indicator compound and the surrogate models with UVA254 and TF exhibited good predictive power for the attenuation of 13 kinetically distinct TOrCs in five filtered and unfiltered wastewater effluents (R² values > 0.8). This study is intended to help provide a guideline for the implementation of indicator/surrogate models for real-time monitoring of TOrC abatement with ozone processes and integrate them into a regulatory framework in water reuse."
Development of Fluorescence Surrogates to Predict the Photochemical Transformation of Pharmaceuticals in Wastewater Effluents,Feb 2017,"The photochemical transformation of pharmaceutical and personal care products (PPCPs) in wastewater effluents is an emerging concern for environmental scientists. In the current study, the photodegradation of 29 PPCPs was examined in effluents under simulated solar irradiation. Direct photodegradation, triplet state effluent organic matter (3EfOM*)-mediated and hydroxyl radical (HO•)-mediated degradation are three major pathways in the removal process. With the photodegradation of trace levels of PPCPs, the excitation-emission matrix (EEM) fluorescence intensities of the effluents were also gradually reduced. Therefore, fluorescence peaks have been identified, for the first time, as appropriate surrogates to assess the photodegradation of PPCPs. The humic-like fluorescence peak is linked to direct photolysis-labile PPCPs, such as naproxen, ronidazole, diclofenac, ornidazole, tinidazole, chloramphenicol, flumequine, ciprofloxacin, methadone, and dimetridazole. The tyrosine-like EEM peak is associated with HO•/CO3•--labile PPCPs, such as trimethoprim, ibuprofen, gemfibrozil, atenolol, carbamazepine, and cephalexin. The tryptophan-like peak is associated with 3EfOM*-labile PPCPs, such as clenbuterol, metoprolol, venlafaxine, bisphenol A, propranolol, ractopamine, salbutamol, roxithromycin, clarithromycin, azithromycin, famotidine, terbutaline, and erythromycin. The reduction in EEM fluorescence correlates well with the removal of PPCPs, allowing a model to be constructed. The solar-driven removal of EEM fluorescence was applied to predict the attenuation of 11 PPCPs in five field samples. A close correlation between the predicted results and the experimental results suggests that fluorescence may be a suitable surrogate for monitoring the solar-driven photodegradation of PPCPs in effluents."
